epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6110.95,1.0632,2.47344,0.88483,0.49613,0.09868,0.06858,0.05444,1.0275,1.68266,0.88796,0.00029705,0.00029705,0.00029705
43,6256.73,1.0678,2.46576,0.88448,0.50404,0.09813,0.07076,0.05661,1.02768,1.67806,0.88884,0.0002921,0.0002921,0.0002921
44,6401.12,1.06229,2.43857,0.88369,0.51367,0.09944,0.07093,0.05703,1.02487,1.67408,0.88854,0.00028715,0.00028715,0.00028715
45,6545.6,1.05793,2.43795,0.88409,0.48354,0.10206,0.07247,0.05809,1.0254,1.66997,0.88772,0.0002822,0.0002822,0.0002822
46,6689.53,1.06201,2.40648,0.88295,0.47305,0.10442,0.07394,0.05916,1.02489,1.66903,0.88784,0.00027725,0.00027725,0.00027725
47,6833.52,1.05915,2.41288,0.88145,0.48356,0.10762,0.07597,0.06101,1.02414,1.66554,0.88788,0.0002723,0.0002723,0.0002723
48,6977.09,1.05881,2.41337,0.88186,0.49657,0.10678,0.07619,0.06105,1.02371,1.66165,0.88793,0.00026735,0.00026735,0.00026735
49,7121.8,1.05826,2.40091,0.88307,0.4746,0.11099,0.07683,0.06146,1.02323,1.65717,0.88778,0.0002624,0.0002624,0.0002624
50,7265.53,1.05542,2.39497,0.88141,0.48073,0.10923,0.0779,0.0624,1.02311,1.65526,0.88779,0.00025745,0.00025745,0.00025745
51,7410.32,1.05596,2.36321,0.87895,0.47232,0.11017,0.07927,0.06341,1.02321,1.65254,0.88783,0.0002525,0.0002525,0.0002525
52,7554.31,1.05403,2.36614,0.88037,0.47514,0.11317,0.08023,0.06429,1.02285,1.65126,0.8876,0.00024755,0.00024755,0.00024755
53,7698.71,1.04724,2.32976,0.88009,0.47502,0.11375,0.08147,0.06532,1.02246,1.6482,0.88791,0.0002426,0.0002426,0.0002426
54,7842.82,1.05314,2.33568,0.87892,0.4675,0.11432,0.08157,0.06534,1.02221,1.64743,0.88768,0.00023765,0.00023765,0.00023765
55,7986.9,1.04583,2.29997,0.88113,0.46589,0.11425,0.08279,0.06641,1.02273,1.64554,0.88816,0.0002327,0.0002327,0.0002327
56,8130.98,1.04664,2.31668,0.87815,0.46713,0.11547,0.08401,0.06731,1.02133,1.64329,0.88777,0.00022775,0.00022775,0.00022775
57,8275.06,1.0489,2.30637,0.87874,0.46447,0.11715,0.08536,0.0684,1.02121,1.64149,0.88768,0.0002228,0.0002228,0.0002228
58,8418.82,1.04433,2.29125,0.8778,0.46665,0.11626,0.08582,0.0686,1.0205,1.63923,0.88754,0.00021785,0.00021785,0.00021785
59,8562.53,1.03557,2.27687,0.87632,0.47241,0.11622,0.0873,0.06985,1.02025,1.63809,0.88737,0.0002129,0.0002129,0.0002129
60,8706.63,1.04369,2.2706,0.87749,0.45702,0.11829,0.08954,0.07162,1.02044,1.63648,0.88733,0.00020795,0.00020795,0.00020795
61,8850.7,1.03971,2.26385,0.87764,0.45738,0.11968,0.09,0.072,1.02002,1.63272,0.88734,0.000203,0.000203,0.000203
62,8995.01,1.04356,2.28076,0.8774,0.45142,0.12073,0.09066,0.07237,1.01949,1.63141,0.88727,0.00019805,0.00019805,0.00019805
63,9139.3,1.03925,2.26677,0.87701,0.46054,0.12101,0.09112,0.0728,1.0193,1.63011,0.88717,0.0001931,0.0001931,0.0001931
64,9283.36,1.03776,2.25925,0.8763,0.46531,0.12128,0.09116,0.07273,1.01986,1.62825,0.8872,0.00018815,0.00018815,0.00018815
65,9427.16,1.03105,2.23562,0.87671,0.45387,0.12074,0.09171,0.0732,1.01952,1.62833,0.88725,0.0001832,0.0001832,0.0001832
66,9571.17,1.03215,2.22676,0.87511,0.45469,0.12288,0.09226,0.07369,1.01984,1.62763,0.8874,0.00017825,0.00017825,0.00017825
67,9715.38,1.03253,2.21523,0.87686,0.45097,0.12467,0.09268,0.07395,1.01964,1.62696,0.88741,0.0001733,0.0001733,0.0001733
68,9860,1.03682,2.21469,0.87598,0.4537,0.125,0.09302,0.07426,1.01993,1.62628,0.88746,0.00016835,0.00016835,0.00016835
69,10004.2,1.03757,2.21661,0.87578,0.44193,0.12774,0.09365,0.07472,1.0198,1.62486,0.88741,0.0001634,0.0001634,0.0001634
70,10148,1.02786,2.20404,0.87313,0.43429,0.13036,0.09406,0.07504,1.01986,1.62336,0.88737,0.00015845,0.00015845,0.00015845
71,10292.4,1.03029,2.20381,0.87471,0.43197,0.12927,0.09476,0.07572,1.01946,1.62206,0.88735,0.0001535,0.0001535,0.0001535
72,10436.2,1.02361,2.16569,0.8743,0.4327,0.12955,0.09561,0.07648,1.01917,1.6215,0.88747,0.00014855,0.00014855,0.00014855
73,10580.1,1.03116,2.17539,0.87381,0.43297,0.1302,0.09601,0.0768,1.01941,1.62079,0.88742,0.0001436,0.0001436,0.0001436
74,10723.5,1.02042,2.16898,0.87544,0.43579,0.13042,0.0962,0.07695,1.01956,1.6211,0.88747,0.00013865,0.00013865,0.00013865
75,10867.2,1.02843,2.1883,0.87412,0.43326,0.12955,0.09813,0.07863,1.01935,1.62048,0.8874,0.0001337,0.0001337,0.0001337
76,11011.2,1.02256,2.17313,0.87292,0.44478,0.12973,0.09847,0.07896,1.01876,1.62009,0.88729,0.00012875,0.00012875,0.00012875
77,11154.8,1.02622,2.157,0.87352,0.44287,0.13027,0.09885,0.07929,1.01871,1.61942,0.88713,0.0001238,0.0001238,0.0001238
78,11298.9,1.02706,2.15033,0.87278,0.44386,0.13089,0.09915,0.07946,1.01858,1.61949,0.88708,0.00011885,0.00011885,0.00011885
79,11443.2,1.02946,2.16441,0.87411,0.44359,0.13038,0.09941,0.07967,1.01842,1.61897,0.88699,0.0001139,0.0001139,0.0001139
80,11587.4,1.02373,2.15454,0.87399,0.44374,0.13159,0.09949,0.07971,1.0185,1.61894,0.88703,0.00010895,0.00010895,0.00010895
81,11731,1.02856,2.14902,0.87482,0.44109,0.13254,0.09965,0.07985,1.0188,1.61866,0.88703,0.000104,0.000104,0.000104
82,11874.7,1.02156,2.13765,0.87235,0.43895,0.13204,0.10014,0.08026,1.01827,1.61813,0.8869,9.905e-05,9.905e-05,9.905e-05
83,12018.7,1.01836,2.13929,0.87276,0.43839,0.1322,0.10022,0.08062,1.01796,1.61814,0.88694,9.41e-05,9.41e-05,9.41e-05
84,12162.6,1.01525,2.12329,0.87247,0.43937,0.13237,0.10004,0.08015,1.01763,1.61767,0.88688,8.915e-05,8.915e-05,8.915e-05
85,12306.9,1.01904,2.11121,0.87279,0.4399,0.13352,0.10036,0.08036,1.01766,1.61691,0.88693,8.42e-05,8.42e-05,8.42e-05
86,12450.9,1.01665,2.1185,0.87079,0.44427,0.13376,0.10053,0.08056,1.01762,1.61678,0.88699,7.925e-05,7.925e-05,7.925e-05
87,12595.5,1.01637,2.12122,0.87149,0.44187,0.13317,0.10073,0.0808,1.0177,1.61634,0.88689,7.43e-05,7.43e-05,7.43e-05
88,12739.4,1.02009,2.11921,0.87222,0.43437,0.13402,0.10079,0.08078,1.01787,1.61646,0.88697,6.935e-05,6.935e-05,6.935e-05
89,12883.3,1.01626,2.10531,0.87079,0.42994,0.13344,0.10104,0.08108,1.01794,1.61645,0.88699,6.44e-05,6.44e-05,6.44e-05
90,13027.4,1.01054,2.10549,0.86947,0.4261,0.13447,0.10153,0.08149,1.01805,1.61677,0.88702,5.945e-05,5.945e-05,5.945e-05
91,13173.3,1.00596,2.46548,0.87097,0.4217,0.13447,0.10144,0.08142,1.01776,1.61564,0.88706,5.45e-05,5.45e-05,5.45e-05
92,13316.6,0.99602,2.41716,0.86868,0.42221,0.13502,0.10119,0.08116,1.018,1.61566,0.88712,4.955e-05,4.955e-05,4.955e-05
93,13459.8,0.99515,2.40121,0.86879,0.42283,0.13493,0.10123,0.08121,1.01798,1.61557,0.88716,4.46e-05,4.46e-05,4.46e-05
94,13602,0.99333,2.38932,0.86828,0.42279,0.13497,0.10104,0.08102,1.01795,1.61547,0.88712,3.965e-05,3.965e-05,3.965e-05
95,13744.8,0.99083,2.39094,0.86762,0.42353,0.13493,0.10141,0.08139,1.01815,1.61543,0.88726,3.47e-05,3.47e-05,3.47e-05
96,13887.4,0.98928,2.38496,0.86801,0.42038,0.13665,0.10143,0.08139,1.01788,1.61523,0.88728,2.975e-05,2.975e-05,2.975e-05
97,14030,0.99278,2.37757,0.86828,0.41851,0.13739,0.10154,0.08147,1.01825,1.61537,0.88732,2.48e-05,2.48e-05,2.48e-05
98,14173.1,0.98732,2.38205,0.86683,0.42079,0.13631,0.10134,0.08129,1.01829,1.61536,0.88726,1.985e-05,1.985e-05,1.985e-05
99,14315.9,0.98577,2.36634,0.8711,0.42062,0.13693,0.10151,0.08141,1.01855,1.61549,0.88727,1.49e-05,1.49e-05,1.49e-05
100,14459,0.9863,2.37758,0.86823,0.42036,0.13725,0.10141,0.08133,1.01858,1.61555,0.88729,9.95e-06,9.95e-06,9.95e-06
